Most used words by Flume: 
Number of songs scanned: 54

1118. drivin - 1 use.
1119. tint - 1 use.
1120. name - 1 use.
1121. buzzin - 1 use.
1122. killin - 1 use.
1123. aimin - 1 use.
1124. temple - 1 use.
1125. taught - 1 use.
1126. genocide - 1 use.
1127. buried - 1 use.
1128. cleanse - 1 use.
1129. sittin - 1 use.
1130. bigger - 1 use.
1131. stick - 1 use.
1132. held - 1 use.
1133. floating - 1 use.
1134. disappointing - 1 use.
1135. resistance - 1 use.
1136. else - 1 use.
1137. replaying - 1 use.
1138. mark - 1 use.
1139. ramona - 1 use.
1140. park - 1 use.
1141. wasnt - 1 use.
1142. shoot - 1 use.
1143. doing - 1 use.
1144. leaving - 1 use.
1145. fires - 1 use.
1146. societys - 1 use.
1147. retribution - 1 use.
1148. burning - 1 use.
1149. learning - 1 use.
1150. six - 1 use.
1151. earth - 1 use.
1152. hearse - 1 use.
1153. worse - 1 use.
1154. woman - 1 use.
1155. hurt - 1 use.
1156. apologize - 1 use.
1157. karma - 1 use.
1158. shinin - 1 use.
1159. makin - 1 use.
1160. intact - 1 use.
1161. harvest - 1 use.
1162. empire - 1 use.
