Most used words by Porches: 
Number of songs scanned: 71

1102. precious - 1 use.
1103. beyond - 1 use.
1104. emptiness - 1 use.
1105. fear - 1 use.
1106. supreme - 1 use.
1107. ending - 1 use.
1108. teach - 1 use.
1109. perfect - 1 use.
1110. passes - 1 use.
1111. understanding - 1 use.
1112. liar - 1 use.
1113. calling - 1 use.
1114. prince - 1 use.
1115. basement - 1 use.
1116. storm - 1 use.
1117. crack - 1 use.
1118. beach - 1 use.
1119. without - 1 use.
1120. lover - 1 use.
1121. sinks - 1 use.
1122. aching - 1 use.
1123. breast - 1 use.
1124. thorn - 1 use.
1125. bottle - 1 use.
1126. crooked - 1 use.
1127. girls - 1 use.
1128. howl - 1 use.
1129. waiter - 1 use.
1130. lends - 1 use.
1131. books - 1 use.
1132. barf - 1 use.
1133. bag - 1 use.
1134. coat - 1 use.
1135. de- - 1 use.
1136. afraid - 1 use.
1137. suburb - 1 use.
1138. scheming - 1 use.
1139. stoned - 1 use.
1140. breasts - 1 use.
1141. moonlight - 1 use.
1142. silky - 1 use.
1143. young - 1 use.
1144. slick - 1 use.
1145. bared - 1 use.
1146. heres - 1 use.
1147. townie - 1 use.
1148. shoulder - 1 use.
1149. someone - 1 use.
1150. havent - 1 use.
1151. ex-princess - 1 use.
1152. attack - 1 use.
1153. youd - 1 use.
1154. alright - 1 use.
1155. rainbow - 1 use.
1156. paradise - 1 use.
1157. strawberry - 1 use.
1158. lipstick - 1 use.
1159. state - 1 use.
1160. lemon - 1 use.
1161. ice - 1 use.
1162. filled - 1 use.
1163. amphetamines - 1 use.
1164. daddies - 1 use.
1165. faults - 1 use.
