Most used words by Pavement: 
Number of songs scanned: 130

956. wall - 2 uses.
957. amateur - 2 uses.
958. gatherers - 2 uses.
959. conrad - 2 uses.
960. hilton - 2 uses.
961. making - 2 uses.
962. fool - 2 uses.
963. blister - 2 uses.
964. held - 2 uses.
965. paint - 2 uses.
966. affair - 2 uses.
967. cursed - 2 uses.
968. one-way - 2 uses.
969. substitutes - 2 uses.
970. december - 2 uses.
971. icy - 2 uses.
972. develop - 2 uses.
973. someday - 2 uses.
974. wed - 2 uses.
975. aware - 2 uses.
976. thought - 2 uses.
977. passengers - 2 uses.
978. feet - 2 uses.
979. height - 2 uses.
980. smiles - 2 uses.
981. unaffected - 2 uses.
982. twenty - 2 uses.
983. redbirds - 2 uses.
984. purses - 2 uses.
985. reimburse - 2 uses.
986. line-stand - 2 uses.
987. ha - 2 uses.
988. summers - 2 uses.
989. shallow - 2 uses.
990. spillways - 2 uses.
991. unexposed - 2 uses.
992. inspected - 2 uses.
993. elected - 2 uses.
994. oooh - 2 uses.
995. rushing - 2 uses.
996. brand - 2 uses.
997. rings - 2 uses.
998. wild - 2 uses.
999. divorces - 2 uses.
1000. couldnt - 2 uses.
1001. border - 2 uses.
1002. blocking - 2 uses.
1003. transport - 2 uses.
1004. file - 2 uses.
1005. spare - 2 uses.
1006. laundromat - 2 uses.
1007. act - 2 uses.
1008. roam - 2 uses.
1009. isolator - 2 uses.
1010. rocks - 2 uses.
1011. swear - 2 uses.
1012. cheap - 2 uses.
1013. settlement - 2 uses.
1014. malaria - 2 uses.
1015. hysteria - 2 uses.
1016. guy - 2 uses.
1017. woods - 2 uses.
1018. lots - 2 uses.
1019. details - 2 uses.
1020. waitin - 2 uses.
1021. spiral - 2 uses.
1022. staircase - 2 uses.
1023. rugs - 2 uses.
1024. stunning - 2 uses.
1025. bureaucrat - 2 uses.
1026. letters - 2 uses.
1027. costs - 2 uses.
1028. bath - 2 uses.
1029. thankful - 2 uses.
1030. rotten - 2 uses.
1031. twice - 2 uses.
1032. goodbye - 2 uses.
1033. hearts - 2 uses.
1034. buried - 2 uses.
1035. melt - 2 uses.
1036. trick - 2 uses.
1037. fake - 2 uses.
1038. complaining - 2 uses.
1039. ta - 2 uses.
1040. stars - 2 uses.
1041. attack - 2 uses.
1042. wasnt - 2 uses.
1043. asking - 2 uses.
1044. couch - 2 uses.
1045. next - 2 uses.
1046. response - 2 uses.
1047. tricks - 2 uses.
1048. ring - 2 uses.
1049. swing - 2 uses.
1050. spoken - 2 uses.
1051. bars - 2 uses.
1052. divorce - 2 uses.
1053. laughs - 2 uses.
1054. stimulate - 2 uses.
1055. chords - 2 uses.
1056. tears - 2 uses.
1057. eye - 2 uses.
1058. married - 2 uses.
1059. fitness - 2 uses.
1060. shores - 2 uses.
1061. blond - 2 uses.
1062. lands - 2 uses.
1063. missle - 2 uses.
1064. launcher - 2 uses.
1065. staying - 2 uses.
1066. styles - 2 uses.
1067. nights - 2 uses.
1068. lips - 2 uses.
1069. cucumber - 2 uses.
1070. baptist - 2 uses.
1071. suck-off - 2 uses.
1072. blackticks - 2 uses.
1073. rockers - 2 uses.
1074. grey - 2 uses.
1075. rich - 2 uses.
1076. enviable - 2 uses.
1077. escape - 2 uses.
1078. bear - 2 uses.
1079. social - 2 uses.
1080. members - 2 uses.
1081. tree - 2 uses.
1082. table - 2 uses.
1083. diamond-sharp - 2 uses.
1084. ooh-ooh-ooh-ooh-ooh-ooh-ooh - 2 uses.
1085. ids - 2 uses.
1086. sisters - 2 uses.
1087. fathers - 2 uses.
1088. bless - 2 uses.
1089. divine - 2 uses.
1090. dawn - 2 uses.
1091. vices - 2 uses.
1092. apartment - 2 uses.
1093. current - 2 uses.
1094. environment - 2 uses.
1095. lain - 2 uses.
1096. dc - 2 uses.
1097. candy - 2 uses.
1098. capital - 2 uses.
1099. sucks - 2 uses.
1100. etc - 2 uses.
1101. reason - 2 uses.
1102. spring - 2 uses.
1103. winters - 2 uses.
1104. timekeeper - 2 uses.
1105. cuter - 2 uses.
1106. trademark - 2 uses.
1107. window - 2 uses.
1108. excellent - 2 uses.
1109. blurring - 2 uses.
1110. coppertones - 2 uses.
1111. centuries - 2 uses.
1112. mouth - 2 uses.
1113. double - 2 uses.
1114. chooser - 2 uses.
1115. deep - 2 uses.
1116. coins - 2 uses.
1117. wires - 2 uses.
1118. burned - 2 uses.
1119. yanked - 2 uses.
1120. spend - 2 uses.
1121. nickels - 2 uses.
1122. bobbi - 2 uses.
1123. hello - 2 uses.
1124. kramer - 2 uses.
1125. doctors - 2 uses.
1126. gift - 2 uses.
