Most used words by dodie: 
Number of songs scanned: 104

1011. pjs - 2 uses.
1012. tread - 2 uses.
1013. somehow - 2 uses.
1014. messed - 2 uses.
1015. wonderful - 2 uses.
1016. skies - 2 uses.
1017. pink - 2 uses.
1018. chocolate - 2 uses.
1019. forgotten - 2 uses.
1020. ooooooooooooooooo - 2 uses.
1021. firm - 2 uses.
1022. sang - 2 uses.
1023. leaning - 2 uses.
1024. pulled - 2 uses.
1025. features - 2 uses.
1026. willing - 2 uses.
1027. compete - 2 uses.
1028. track - 2 uses.
1029. pull - 2 uses.
1030. grit - 2 uses.
1031. followed - 2 uses.
1032. empire - 2 uses.
1033. ends - 2 uses.
1034. set - 2 uses.
1035. pay - 2 uses.
1036. slowest - 2 uses.
1037. mighty - 2 uses.
1038. served - 2 uses.
1039. blow - 2 uses.
1040. bpay - 2 uses.
1041. moving - 2 uses.
1042. seventeen - 2 uses.
1043. eight - 2 uses.
1044. older - 2 uses.
1045. younger - 2 uses.
1046. pictures - 2 uses.
1047. pass - 2 uses.
1048. unfair - 2 uses.
1049. kidding - 2 uses.
1050. heels - 2 uses.
1051. suit - 2 uses.
1052. juuuul - 2 uses.
1053. hours - 2 uses.
1054. moved - 2 uses.
1055. crystallized… - 2 uses.
1056. scars - 2 uses.
1057. cover - 2 uses.
1058. lady - 2 uses.
1059. choose - 2 uses.
1060. question - 2 uses.
1061. guitar - 2 uses.
1062. bars - 2 uses.
1063. perhaps - 2 uses.
1064. bear - 2 uses.
1065. mhmm - 2 uses.
1066. sheet - 2 uses.
1067. edges - 2 uses.
1068. midnight - 2 uses.
1069. compare - 2 uses.
1070. learn - 2 uses.
1071. balloon - 2 uses.
1072. joke - 2 uses.
1073. galaxy - 2 uses.
1074. leap - 2 uses.
1075. spaceship - 2 uses.
1076. passenger - 2 uses.
1077. seat - 2 uses.
1078. dust - 2 uses.
1079. rate - 2 uses.
1080. half - 2 uses.
1081. voice - 2 uses.
1082. scared - 2 uses.
1083. burn - 2 uses.
1084. strokes - 2 uses.
1085. craft - 2 uses.
1086. sob - 2 uses.
1087. tap - 2 uses.
1088. stuff - 2 uses.
1089. nails - 2 uses.
1090. age-old - 2 uses.
1091. white - 2 uses.
1092. married - 2 uses.
1093. risk - 2 uses.
1094. tie - 2 uses.
1095. hurricane - 2 uses.
1096. candles - 2 uses.
1097. irony - 2 uses.
1098. sting - 2 uses.
1099. heartbreak - 2 uses.
1100. doomed - 2 uses.
1101. began - 2 uses.
1102. very - 2 uses.
1103. drawing - 2 uses.
1104. blinds - 2 uses.
1105. poor - 2 uses.
1106. whirring - 2 uses.
1107. image - 2 uses.
1108. soothe - 2 uses.
1109. rip - 2 uses.
1110. mad - 2 uses.
1111. stereotypes - 2 uses.
1112. guessing - 2 uses.
1113. horns - 2 uses.
1114. rotted - 2 uses.
1115. easily - 2 uses.
1116. passion - 2 uses.
1117. twists - 2 uses.
1118. bitch - 2 uses.
1119. listens - 2 uses.
1120. plug - 2 uses.
1121. couple - 2 uses.
1122. twelve - 2 uses.
1123. loft - 2 uses.
1124. pieces - 2 uses.
